feature,importance
insecticide,1.3660716
herbicide,1.0539806
fungicide,0.7401076
year,0.6413162
LogP,0.47377476
HeavyAtomCount,0.3784325
toxicity_type_Oral,0.36676002
MolarRefractivity,0.35695213
source_PPDB,0.3353438
NumHAcceptors,0.30299243
FractionCSP3,0.29843882
NumRotatableBonds,0.28228647
MolecularWeight,0.27910447
source_ECOTOX,0.26387653
TPSA,0.24598728
NumHeteroatoms,0.23525178
NumHDonors,0.20697102
BertzCT,0.19053194
NumAromaticRings,0.15275104
NumRings,0.10219347
NumAliphaticRings,0.07761094
other_agrochemical,0.05546105
toxicity_type_Other,0.04966453
NumSaturatedRings,0.017522627
